id,gaps,flank_wear,overhang
T1R2B1,7.67,34.89,48.61
T1R7B4,13.89,85.41,50.25
T2R3B3,1.79,50.62,10.21
T2R13B4,0,122.59,25.55
T3R6B3,0,91.83,21.44
T3R10B1,5,128.39,35.26
T4R2B3,5.12,54.24,12.73
T4R5B3,9.19,79.89,12.58
T5R2B2,0,40.08,17.52
T5R12B1,21.79,334.39,16.14
T6R9B3,12.94,95.63,16.65
T6R13B3,13.88,120.8,18.57
T7R8B3,7.45,77.05,19.02
T7R14B3,13.67,141.91,14.62
T8R3B4,6.88,40.92,14.54
T8R13B4,148.8,178.57,9.76
T9R7B4,0,94.62,17.05
T9R13B3,6.88,145.52,22.42
T10R3B4,0,44.26,7.1
T10R10B4,18.05,99.44,13.64
